Financial year,Sub ICB,Paracetamol type,Item count,Total item count,Cost,Total cost,Patient count,Total patients,Percentage of items,Percentage of cost,Percentage of patients
2020/21,"Bath and North East Somerset, Swindon and Wiltshire - 92G",Liquid,7040,33540,131720,269150,1540,5780,21,48.9,26.6
2020/21,"Bath and North East Somerset, Swindon and Wiltshire - 92G",Non-liquid,26500,33540,137430,269150,4900,5780,79,51.1,84.7
2020/21,"Bedfordshire, Luton and Milton Keynes - M1J4Y",Liquid,2780,16220,45210,109450,720,3580,17.1,41.3,20.2
2020/21,"Bedfordshire, Luton and Milton Keynes - M1J4Y",Non-liquid,13450,16220,64240,109450,3090,3580,82.9,58.7,86.3
2020/21,Birmingham and Solihull - 15E,Liquid,5690,33600,91650,225780,1280,5970,16.9,40.6,21.5
2020/21,Birmingham and Solihull - 15E,Non-liquid,27910,33600,134130,225780,5280,5970,83.1,59.4,88.3
2020/21,Black Country - D2P2L,Liquid,4350,31500,61660,187070,970,5750,13.8,33,16.9
2020/21,Black Country - D2P2L,Non-liquid,27150,31500,125400,187070,5180,5750,86.2,67,90
2020/21,"Bristol, North Somerset and South Gloucestershire - 15C",Liquid,4740,35050,72110,244880,1190,6090,13.5,29.4,19.6
2020/21,"Bristol, North Somerset and South Gloucestershire - 15C",Non-liquid,30320,35050,172770,244880,5480,6090,86.5,70.6,90
2020/21,"Buckinghamshire, Oxfordshire and Berkshire West - 10Q",Liquid,4350,26070,76360,191420,960,4100,16.7,39.9,23.4
2020/21,"Buckinghamshire, Oxfordshire and Berkshire West - 10Q",Non-liquid,21720,26070,115050,191420,3620,4100,83.3,60.1,88.5
2020/21,"Buckinghamshire, Oxfordshire and Berkshire West - 14Y",Liquid,2710,15030,49890,114420,690,2740,18,43.6,25.2
2020/21,"Buckinghamshire, Oxfordshire and Berkshire West - 14Y",Non-liquid,12320,15030,64530,114420,2390,2740,82,56.4,87.2
2020/21,"Buckinghamshire, Oxfordshire and Berkshire West - 15A",Liquid,1780,10450,38700,87360,460,2010,17,44.3,22.9
2020/21,"Buckinghamshire, Oxfordshire and Berkshire West - 15A",Non-liquid,8670,10450,48660,87360,1750,2010,83,55.7,87
